#,Player,Position,Team,ESPN,Sleeper,Yahoo,CBS,RTSports,Underdog,Guillotine,FFPC,NFFC,SuperFlex
909,Indianapolis Colts,DST,IND,169.90 (0.40),219.00,,,273.00,,,348.80 (0.63),247.66 (-1.80),
910,Olamide Zaccheaus,WR,ATL,170.00,,,,,216.00,240.83,349.45 (0.24),282.68 (0.37),347.46 (1.09)
911,CJ Daniels,WR,LA,170.00,,,,,216.00 (-0.10),,348.18 (1.52),273.43,346.44 (2.18)
912,Nick Mullens,QB,JAC,170.00 (0.10),,,,,216.00,,347.43 (1.06),274.62 (0.20),347.69
913,Khalil Herbert,RB,SF,170.00,,,,,216.00,,348.91 (0.12),273.18,
914,Phil Mafah,RB,DAL,170.00,,,,259.00,216.00,244.40,348.22 (-0.47),275.02 (0.16),
915,Deion Burks,WR,IND,170.00,,,,,216.00,,348.93 (0.02),273.58 (0.10),
916,Jalen Milroe,QB,SEA,169.90 (0.10),,,,,216.00 (-0.10),,349.72 (-0.02),273.03 (-0.09),
917,Mitchell Evans,TE,CAR,170.00,,,,,215.90 (0.10),,349.50 (-0.09),273.27 (-0.15),347.66
918,Roman Wilson,WR,PIT,169.90 (0.10),,,,,215.80,,348.71 (1.00),274.26 (-0.80),346.58
919,Brock Wright,TE,DET,169.90,,,,,216.00,,349.76,273.06 (0.01),
920,Sione Vaki,RB,DET,170.00,,,,,216.00,,349.52 (0.17),273.21 (-0.06),347.78
921,Austin Hooper,TE,ATL,170.00,,,,,216.00,,349.66,273.19 (0.04),
922,Jacob Saylors,RB,DET,170.00,,,,,216.00,,349.66,273.29 (0.05),
923,Max Klare,TE,LA,170.00,248.80,,,,216.00,,348.97 (-1.20),277.52 (0.53),
924,Jaleel McLaughlin,RB,DEN,170.00,,,,,216.00,,349.47 (0.19),273.64 (0.11),
925,Jaylin Lane,WR,WAS,170.10 (-0.10),,,,,216.00,,349.76,273.34 (0.06),348.87
926,Dont'e Thornton,WR,LV,170.00,,,,,216.00,,349.46,273.85 (0.10),
927,Kalif Raymond,WR,CHI,169.90 (0.10),,,,,215.90,,348.60 (1.09),274.94 (-0.54),347.66
928,Taysom Hill,TE,Free Agent,170.00,,,,,216.00 (-0.10),,349.49 (-1.48),273.88 (-0.34),348.84 (-3.27)
929,Damien Martinez,RB,GB,170.00,,,,,216.00,,349.76,273.67 (0.12),
930,Quinn Ewers,QB,MIA,169.90,,,,,216.00,,349.72 (-0.02),273.93 (0.17),348.70 (-0.08)
931,Jawhar Jordan,RB,HOU,170.20 (-0.10),,,,,216.00,,349.50,273.95 (-0.10),
932,Jordan Whittington,WR,LA,169.90,,,,,216.00,,349.75,274.01 (-0.25),
933,Greg Dortch,WR,DET,170.00,,,,,215.90 (0.10),,349.76,274.03 (-0.29),
934,Jarrett Stidham,QB,DEN,170.00,,,,,216.00,,349.25 (0.13),274.60 (0.19),
935,Colbie Young,WR,CIN,170.00,,,,,215.90 (0.10),,348.94 (0.67),275.01 (0.13),347.45
936,Demarcus Robinson,WR,SF,170.00,,,,,216.00,,349.19 (-0.18),274.66 (-0.13),348.84 (-0.18)
937,Carolina Panthers,DST,CAR,169.80 (-0.10),238.40,,,,,,349.61 (-0.60),252.29 (-1.79),
938,Kyle Allen,QB,BUF,169.90 (0.10),,,,,216.00,,349.50 (-0.43),274.72 (-0.22),
939,Zavion Thomas,WR,CHI,169.90,,,,,215.70 (-0.10),,347.89 (0.18),276.64 (-0.30),348.86 (-3.06)
940,Joshua Palmer,WR,BUF,169.90,,,,,215.90,,348.02 (1.30),276.59 (-1.08),
941,Daniel Bellinger,TE,TEN,170.00,,,,,216.00,,349.95,274.63 (0.30),
942,Jarquez Hunter,RB,LA,170.00,240.60,,,264.00 (-34.00),216.00,,349.75 (-0.08),275.69 (0.25),
943,Ben Sinnott,TE,WAS,170.00,,,,,216.00,,349.75 (-0.40),275.14 (0.28),
944,Oscar Delp,TE,NO,170.00,,,,251.75 (-23.25),216.00 (-0.10),,345.85 (-0.61),280.64 (-0.05),342.90 (-0.31)
945,Justin Joly,TE,DEN,170.00,,,,,216.00,,348.27 (-0.82),277.14 (0.16),346.62 (-2.33)
946,New Orleans Saints,DST,NO,169.90 (0.20),244.60,,,266.00,,,347.57 (0.45),236.73 (-1.34),
947,Treylon Burks,WR,WAS,170.20 (-0.10),,,,,216.00 (-0.10),,349.76 (-1.55),275.98 (0.24),
948,Tyson Bagent,QB,CHI,169.90,,,,,216.00,,349.45 (-0.08),277.22 (-0.08),
949,Tutu Atwell,WR,MIA,170.00,,,,251.00 (-33.00),215.80 (0.10),,349.50,280.04 (-0.27),
950,Anthony Richardson,QB,IND,170.00,,,,,216.00,,348.13 (-0.58),279.38 (0.59),342.43 (3.39)
951,Calvin Austin,WR,NYG,170.00,,,,,216.00,,349.75 (-0.07),277.93 (0.37),348.82
952,DeMario Douglas,WR,NE,169.90,,,,,215.70 (0.20),,348.93 (0.16),279.45 (-0.88),348.84 (-0.30)
953,Tez Johnson,WR,TB,170.00,,,,,215.90,,348.23 (0.50),281.49 (0.49),
954,Noah Gray,TE,KC,169.90 (0.10),,,,,216.00,,345.58 (-0.66),284.16,346.45 (-2.15)
955,Darius Slayton,WR,NYG,170.20 (-0.10),,,,275.00 (-17.00),215.80 (-0.20),237.43 (-4.29),341.11 (-2.97),285.04 (-0.11),331.86 (-18.01)
956,Brenen Thompson,WR,LAC,170.00 (-0.10),,,,264.75 (-25.15),215.90 (-0.20),,344.38 (1.26),276.68 (-0.13),343.01 (2.78)
957,Younghoe Koo,K,Free Agent,169.70 (0.10),339.00,,,,,,,,
958,Isaiah Bond,WR,CLE,170.00,,,,,216.00 (-0.10),,349.75 (-1.40),281.66 (0.54),348.85
959,Mack Hollins,WR,NE,169.90 (0.10),,,,,215.90 (0.10),,349.73,282.01 (-0.29),
960,Tyler Higbee,TE,LA,169.90,,,,,216.00,,349.50 (-1.83),282.36 (0.05),348.81 (-1.63)
961,Isaac Guerendo,RB,SF,170.10,,,,276.00,216.00,246.80,349.70 (-1.25),275.85 (0.16),
962,Tahj Brooks,RB,CIN,170.10,,,,270.00 (-16.00),215.90 (0.10),,347.72 (-0.94),280.72 (-0.37),348.88 (-3.12)
963,Cole Kmet,TE,CHI,169.70 (0.10),,,,280.00,215.80 (0.10),,335.35 (-3.15),284.42 (-0.21),327.87 (-4.70)
964,Cincinnati Bengals,DST,CIN,169.50 (0.10),241.20,,,,,,349.11 (-0.27),269.54 (-0.78),
965,Audric Estime,RB,NO,170.00,237.40,,,,,,349.68,276.28 (0.47),
966,Blake Grupe,K,IND,170.00 (0.20),,,,,,,346.79 (2.27),,
967,Jason Sanders,K,NYJ,169.80 (0.10),,,,,,,349.77 (-0.28),,
968,Bub Means,WR,NO,170.00,,,,,,,349.62 (-0.21),,
969,Zane Gonzalez,K,MIA,169.90,,,,,,,349.92 (-0.15),,
970,Sam Ehlinger,QB,DEN,170.00,,,,,,,349.95,,
971,Cade York,K,NYJ,170.00,350.00,,,,,,,,
972,Matt Gay,K,LV,169.40 (0.20),263.30,,,,,,349.76,,
973,Riley Patterson,K,MIA,170.00,267.00,,,,,,349.96,,
974,Dominic Zvada,K,NYG,169.80,355.30,,,,,,,,
975,Malik Benson,WR,LV,170.00,,,,,,,346.70 (1.42),274.45 (-0.64),347.74 (0.86)
976,Washington Commanders,DST,WAS,169.50 (0.10),,,,,,,349.72 (-0.11),272.90 (-0.60),
977,Sam Howell,QB,DAL,170.00,,,,,,,349.02,273.17 (0.03),
978,Teddy Bridgewater,QB,DET,170.00,,,,,,,348.22 (0.23),274.08 (-0.01),348.88 (-0.26)
979,Kenny Pickett,QB,CAR,169.90 (0.10),,,,,,,348.97,273.61 (-0.12),345.22
980,Mitchell Trubisky,QB,TEN,170.00,,,,,,,349.49,273.00 (0.01),
981,Mason Rudolph,QB,PIT,170.00,,,,,,,349.49 (0.16),273.13 (0.03),348.76 (-0.22)
982,Jalin Hyatt,WR,NYG,170.00,,,,,,,349.75,272.93 (-0.01),
983,Kyle Juszczyk,FB,SF,169.90 (0.10),,,,,,,349.74,273.19 (-0.08),348.79
984,Trey Lance,QB,LAC,170.00 (-0.10),,,,,,,348.73,274.12 (0.01),348.87
985,Darius Cooper,WR,PHI,170.00,,,,,,,349.76,273.09,
986,Tommy DeVito,QB,NE,169.90,,,,,,,348.51 (-0.44),274.52 (-0.17),
987,Drew Lock,QB,SEA,169.90,,,,,,,349.51 (-0.12),273.54 (-0.16),348.84 (-0.32)
988,Davis Mills,QB,HOU,170.00,,,,,,,348.45 (0.62),274.60 (0.12),346.32 (-0.62)
989,Spencer Rattler,QB,NO,170.00,,,,,,,349.48,273.71 (0.05),348.76
990,Tennessee Titans,DST,TEN,169.80 (0.10),270.20,,,276.33,,,344.25 (2.47),261.49 (-0.42),
991,Andy Dalton,QB,PHI,170.00,,,,,,,349.19 (-0.11),274.06 (-0.01),347.36 (1.14)
992,Zach Ertz,TE,Free Agent,170.00,,,,,,,347.95 (1.76),275.39 (-0.18),
993,Tyler Huntley,QB,BAL,169.90 (0.10),,,,,,,346.45 (2.06),277.13 (0.24),346.46 (2.13)
994,Will Shipley,RB,PHI,170.10,,,,,,,349.74 (-0.16),273.82 (-0.01),348.78
995,Jake Browning,QB,TB,170.00,,,,,,,349.48 (0.17),274.63 (-0.13),347.74
996,Tyrod Taylor,QB,GB,169.90 (0.10),,,,,,,349.76 (-0.06),274.46 (-0.12),
997,Will Howard,QB,PIT,170.00 (-0.10),,,,,,,349.76,274.44 (0.06),348.88
998,Eli Heidenreich,RB,PIT,170.00,,,,,,,349.13 (0.54),276.96 (0.39),348.70 (-0.25)
999,Austin Ekeler,RB,Free Agent,170.00,,,,268.00 (-51.45),,,349.76,274.18 (0.12),
1000,Jonnu Smith,TE,Free Agent,170.00,,,,,,,349.46 (0.15),278.58 (0.74),348.82
1001,Marcus Mariota,QB,WAS,170.00,,,,,,,346.67 (-2.84),281.44 (-0.20),344.11 (-11.94)
1002,Chris Brazzell,WR,CAR,170.00 (0.10),400.00,,,,216.00 (-0.10),,,278.38 (-0.19),
1003,Charlie Smyth,K,NO,170.00,269.00,,,278.00,,,348.53 (-0.24),,
1004,Las Vegas Raiders,DST,LV,169.60,279.30,,,270.00 (-12.00),,,347.17 (1.18),268.12 (-0.93),
1005,New York Jets,DST,NYJ,169.90,282.20,,,,,,348.14 (1.63),276.47 (-0.27),
1006,Ben Sauls,K,NYG,169.70 (0.10),369.00,,,,,,,,
1007,Myles Montgomery,RB,Free Agent,,,,,,,,,273.08 (0.01),
1008,Robert Henry,RB,WAS,,,,,,,,,273.15 (-0.02),
1009,Miami Dolphins,DST,MIA,169.40 (0.10),299.00,,,,,,349.81 (0.04),274.41 (-1.40),
1010,Spencer Shrader,K,IND,169.90,378.00,,,,,,,,
1011,J'Mari Taylor,RB,JAC,,,,,,216.00,,349.51,272.94 (-0.01),
1012,Jake Moody,K,WAS,169.70 (0.10),333.00,,,,,,349.63 (-0.48),,
1013,Andre Szmyt,K,CLE,169.80,342.00,,,,,,349.83 (-0.11),,
1014,Ryan Fitzgerald,K,CAR,169.70 (0.10),347.00,,,,,,349.66 (-0.10),,
1015,Chad Ryland,K,ARI,169.80 (0.10),350.00,,,,,,349.83 (-0.33),,
1016,Joey Slye,K,TEN,169.90 (0.10),351.00,,,,,,349.65 (-0.56),,
1017,Trey Smack,K,GB,169.70 (-0.20),353.20,,,,,,349.16 (-0.74),,
1018,Michael Carter,RB,TEN,,,,,,,,347.43 (1.66),274.28 (0.14),345.14
1019,Haynes King,QB,CAR,,,,,,,,349.72,273.10,348.69
1020,Phil Lutz,WR,Free Agent,,,,,,,,349.73,,
1021,Roman Hemby,RB,LV,,,,,,,,349.75,,
1022,Drew Stevens,K,WAS,,,,,,,,349.76,,
